created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Fri Nov 17 23:21:44 +0000 2023,1725655488493183189,"Fuck you, El0n Mu$k https://t.co/S1m9dRwVZ6",129,254,32321,83139,en,1102309757153611778,1725655488493183189,ComradeStu,https://twitter.com/ComradeStu/status/1725655488493183189,
Fri Nov 17 22:19:48 +0000 2023,1725639902774145199,A work of art! 💖  #MeghansGotHerGrooveBack https://t.co/3XftTAdnAT,0,0,36,165,en,1025035651580928005,1725639902774145199,Mu_Ri_Elle,https://twitter.com/Mu_Ri_Elle/status/1725639902774145199,
Fri Nov 17 22:10:45 +0000 2023,1725637627829727407,@lib_crusher Bro they are so mad https://t.co/ksXACyGMF2,16,10,36,1192,en,1542162555199782919,1725632001108070590,McMuIIah,https://twitter.com/McMuIIah/status/1725637627829727407,lib_crusher
Fri Nov 17 21:11:26 +0000 2023,1725622699857264683,GUYS OH MU GODDODDIDKDJDNDB I GOT IT I CRIED SO HARD https://t.co/pVd3s84bmt,7,9,19,214,en,1367996686577119233,1725622699857264683,xheroeskr,https://twitter.com/xheroeskr/status/1725622699857264683,
Fri Nov 17 19:21:33 +0000 2023,1725595043749048451,David Ornstein going after City 😂😂 Go on Lad! 👍,0,9,37,186,en,1565977883688017920,1725595043749048451,BillyMeredithMU,https://twitter.com/BillyMeredithMU/status/1725595043749048451,
Fri Nov 17 19:09:45 +0000 2023,1725592077684130242,"The elected president @HEBobiwine This evening, I checked on our comrade Hon. Muhammad Ssegirinya at the hospital where he remains admitted.  He is still weak but certainly getting better. https://t.co/7ndPh8tMX7",0,7,21,392,en,1168882969697837056,1725592077684130242,NsubugaMu,https://twitter.com/NsubugaMu/status/1725592077684130242,HEBobiwine
Fri Nov 17 18:46:36 +0000 2023,1725586248629395863,"IS THIS WHY THEY CALL MO XUANYU A CUT SLEEVE IN THE NOVEL??? how in the world did they ever think that was an insult, this is the most romantic shit i’ve ever read https://t.co/3c9NQ1byEl",87,29,387,2506,en,1707794726198616064,1725586248629395863,windmastersfan,https://twitter.com/windmastersfan/status/1725586248629395863,
Fri Nov 17 17:59:40 +0000 2023,1725574438681301096,"This is why Gameday should start highlighting other programs besides the same 15 teams every year  This is the crowd for the @PatMcAfeeShow   What it does for some schools, the energy it brings is far better than a normal show. Wish @CollegeGameDay would take notes https://t.co/yvMxSV8H0c",0,3,22,244,en,2511218569,1725574438681301096,BarstoolMU,https://twitter.com/BarstoolMU/status/1725574438681301096,"PatMcAfeeShow, CollegeGameDay"
Fri Nov 17 17:37:36 +0000 2023,1725568883933733289,full grown men are having meltdowns on twitter .com over getting kicked from the Fairy Princess Sparkles Destiny 2 clan,2,32,5,472,en,1481284619576168456,1725568883933733289,MuItimach,https://twitter.com/MuItimach/status/1725568883933733289,
Fri Nov 17 17:07:44 +0000 2023,1725561370911846788,Boulevard of Broken Dreams by Green Day♩ https://t.co/TaEQmNqpNU,113,11,1046,4060,en,1703868558835400705,1725561370911846788,xXMu3icl0v3rXx,https://twitter.com/xXMu3icl0v3rXx/status/1725561370911846788,
Fri Nov 17 16:21:39 +0000 2023,1725549774206796023,"🚨Terrorism has no religion""  "" Only A Very Small Number of organizations are responsible for tarnishing the reputation of the entire Mu$|im C0mmuπity. These carefully selected |$|amic organizations work to spread Teππorism in the name of Islam. it's crucial to oppose… https://t.co/pTeBGCkeZ9""",69,252,520,1005,en,1259334639820431366,1725549774206796023,Shunyaa00,https://twitter.com/Shunyaa00/status/1725549774206796023,
Fri Nov 17 15:35:53 +0000 2023,1725538256526209321,"@TheBaddestMitch I’d add an egg, heavy cream and 2x the cheese. Im not against the onion but I don’t add it. Also needs paprika",0,7,3,448,en,127092352,1725530792997138837,Have_MURcy,https://twitter.com/Have_MURcy/status/1725538256526209321,TheBaddestMitch
Fri Nov 17 15:16:31 +0000 2023,1725533382082285955,Madonna asks the audience if they want her to dance some more and she grants their command during this performance of Don’t Tell Me https://t.co/O4a7cuTZ0q,6,4,35,238,en,1538678063164186624,1725533382082285955,QueenofPopMUSlC,https://twitter.com/QueenofPopMUSlC/status/1725533382082285955,
Fri Nov 17 15:12:10 +0000 2023,1725532286710333760,mu qing: i love you   feng xin: more than your cats?  mu qing: don’t be stupid,1,1,71,438,en,1561380619829088259,1725532286710333760,fqrot,https://twitter.com/fqrot/status/1725532286710333760,
Fri Nov 17 14:55:15 +0000 2023,1725528027981832296,“WHY IS HE MAKING THOSE FACES WHY IS HE LIKE TRYING TO BE SEDUCTIVE EW OH MY GOD MU DAY IS RUINED”  Dream: https://t.co/M7jvzdEBTq,1,11,208,2357,en,1360906776045060097,1725528027981832296,choggily_milk,https://twitter.com/choggily_milk/status/1725528027981832296,
Fri Nov 17 14:26:25 +0000 2023,1725520774629298530,"IT'S time for all us Blues Fans,team etc stick together and get out this mess Weve been in shit positions like this before and knowing EFC will be again But not once have I ever like my father before me and vice versa with my kids wanted to be anything but a blue KEEP THE FAITH https://t.co/mZyYUr9Slz",0,21,54,492,en,1613906455429632000,1725520774629298530,BarryMu24127093,https://twitter.com/BarryMu24127093/status/1725520774629298530,
Fri Nov 17 14:23:25 +0000 2023,1725520018664718534,"Nice one . It is actually mɛɛnsɛm or mmarima nsɛm"" not Mensah.  ""Efie biara mɛɛnsɛm wɔ mu"" which means there's ruffianism or aggression  in every household.  And not Mensah ,as in third born.""",15,17,86,210,en,1329096613902561283,1725520018664718534,OwusuJR_,https://twitter.com/OwusuJR_/status/1725520018664718534,
Fri Nov 17 13:42:10 +0000 2023,1725509637909205221,What is that one language you wish to speak fluently?,13,162,18,152,en,3149150837,1725509637909205221,Happie_Mu,https://twitter.com/Happie_Mu/status/1725509637909205221,
Fri Nov 17 12:37:05 +0000 2023,1725493257529102457,my dil is in my mu guys😭🤌🏻🫀🫶🏼 #Abhisha https://t.co/xxzrg68cMM,4,6,498,1579,en,1694746826929520640,1725493257529102457,kayooteedits,https://twitter.com/kayooteedits/status/1725493257529102457,
Fri Nov 17 10:59:18 +0000 2023,1725468651166306562,"@GravitysRa1nbow spend the entire time flirting with his wife""  Good old Iliad diplomacy. Works every time.""",0,0,0,256,en,1341535607080824833,1725466669122744751,MuKuDk2,https://twitter.com/MuKuDk2/status/1725468651166306562,GravitysRa1nbow
Fri Nov 17 10:56:30 +0000 2023,1725467946804445230,"Allah kaci gaba da rufa mana asiri,mu ci halak mu gama lafiya kamar iyayen mu. See how the mopol is directing emefele like a commoner. This is someone that is a whole central bank governor of a country like Nigeria.  Everyday we see why our parents distanced themselves from such.",6,16,121,154,en,730833825249538051,1725467946804445230,umarkhalifa19,https://twitter.com/umarkhalifa19/status/1725467946804445230,
Fri Nov 17 10:41:48 +0000 2023,1725464245158945092,WHY IS HE MAKING THOSE FACES WHY IS HE LIKE TRYING TO BE SEDUCTIVE EW OH MY GOD MU DAY IS RUINED https://t.co/5taTa0Jd5J,0,0,15,744,en,1495681107966275584,1725464245158945092,neeppneepp,https://twitter.com/neeppneepp/status/1725464245158945092,
Fri Nov 17 07:57:15 +0000 2023,1725422835881935171,MU 🐱 231117 - 16:16  : Yesterday https://t.co/Ir7kmdPNhC,2,0,27,271,en,1277810014997098496,1725422835881935171,niziubbl,https://twitter.com/niziubbl/status/1725422835881935171,
Fri Nov 17 07:34:15 +0000 2023,1725417046597382145,president Museveni talks about Sex:  “Munoonyaki mu bwa malaaya? Are you inspectors of private parts”? https://t.co/WQbvwSQiTA,13,42,102,378,en,1110881874132504580,1725417046597382145,MwesigyeFranks,https://twitter.com/MwesigyeFranks/status/1725417046597382145,
